strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030902050301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050406,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050407,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050408,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050604,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050605,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070305,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002080704,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002081004,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002081101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002081102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002081103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010503,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010504,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101010603,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031101020402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
